img_id,mAP@50:95,mAP@50,mAP@75,predicted_boxes,ground_truth_boxes
case0005_001.png,0.0,0.0,0.0,"[[327.68, 163.84, 604.16, 409.6]]","[[317.11572265625, 343.91038411458334, 557.7898600260417, 583.4922526041667]]"
case0005_002.png,N/A,N/A,N/A,[],"[[345.6, 354.1333333333333, 467.20000000000005, 533.3333333333333], [563.2, 364.8, 678.4000000000001, 524.8]]"
case0005_003.png,N/A,N/A,N/A,[],"[[309.3333333333333, 347.73333333333335, 488.5333333333333, 558.9333333333334], [520.5333333333333, 345.6, 731.7333333333333, 558.9333333333334]]"
case0012_001.png,0.19999999999999998,0.9999999999999999,0.0,"[[522.24, 296.96, 798.72, 614.4]]","[[552.215234375, 165.58426106770833, 817.3544270833333, 660.0525227864583]]"
case0012_002.png,0.0,0.0,0.0,"[[419.84, 266.24, 798.72, 604.16]]","[[520.7338541666667, 322.73492838541665, 737.1882486979166, 722.1546549479167]]"
case0012_003.png,0.0,0.0,0.0,"[[522.24, 327.68, 757.76, 614.4]]","[[505.0538736979167, 285.23639322916665, 801.7919921875, 825.0550455729167]]"
case0012_004.png,0.0,0.0,0.0,"[[522.24, 368.64, 757.76, 593.92]]","[[568.3541015625, 333.03893229166664, 792.8149088541667, 776.6869466145833]]"
case0012_005.png,0.0,0.0,0.0,"[[460.8, 276.48, 706.56, 389.12]]","[[480.85546875, 310.621875, 747.9552083333333, 776.5013346354167]]"
case0012_006.png,N/A,N/A,N/A,[],"[[528.6655924479167, 177.46774088541667, 766.2890625, 486.4106770833333]]"
case0018_001.png,N/A,N/A,N/A,[],"[[436.05546875, 458.20159505208335, 542.310400390625, 641.288525390625]]"
case0018_002.png,N/A,N/A,N/A,[],"[[448.4138671875, 454.83518880208334, 545.3055989583333, 621.2351888020834]]"
case0018_003.png,N/A,N/A,N/A,[],"[[473.39521484375, 422.29759114583334, 558.0458821614584, 493.4485270182292]]"
case0034_001.png,N/A,N/A,N/A,[],"[[397.58505859375, 575.4581380208333, 698.9269205729166, 888.31572265625]]"
case0034_002.png,0.0,0.0,0.0,"[[174.08, 573.44, 849.92, 808.96]]","[[398.93333333333334, 552.7338541666667, 694.57919921875, 871.04423828125]]"
case0034_003.png,0.19999999999999998,0.9999999999999999,0.0,"[[389.12, 604.16, 686.08, 839.68]]","[[360.5546549479167, 577.7109375, 707.83359375, 922.85654296875]]"
case0034_004.png,N/A,N/A,N/A,[],"[[366.93333333333334, 578.1333333333333, 750.9333333333334, 851.2], [571.7333333333333, 369.06666666666666, 738.1333333333333, 522.6666666666666], [285.8666666666667, 394.6666666666667, 386.1333333333333, 512.0]]"
case0034_005.png,N/A,N/A,N/A,[],"[[554.0821614583333, 411.21279296874997, 810.2954915364583, 624.6741210937499]]"
case0043_001.png,N/A,N/A,N/A,[],"[[543.34677734375, 282.96845703125, 743.9377115885417, 761.8228515625], [247.49640299479165, 508.598828125, 437.82172851562495, 795.5129557291666]]"
case0043_002.png,N/A,N/A,N/A,[],"[[586.7178385416667, 316.2794596354167, 745.727978515625, 722.6367838541667], [232.772265625, 215.330126953125, 467.3535970052083, 820.3775878906249]]"
case0043_003.png,N/A,N/A,N/A,[],"[[272.5226725260417, 345.35680338541664, 396.59947102864584, 714.8245442708333], [592.3251302083333, 322.809375, 742.9896647135417, 727.3405598958334]]"
case0043_004.png,N/A,N/A,N/A,[],"[[269.30133463541665, 231.44532877604166, 779.6117187499999, 484.4671875]]"
case0043_005.png,N/A,N/A,N/A,[],"[[272.21119791666666, 347.73333333333335, 411.3109375, 698.4021484375], [571.27890625, 317.021875, 741.9562337239583, 677.89228515625]]"
case0054_001.png,N/A,N/A,N/A,[],"[[477.8666666666667, 573.3205078125, 570.6922688802083, 624.0255737304688]]"
case0061_001.png,0.0,0.0,0.0,"[[286.72, 163.84, 583.68, 440.32]]","[[295.62880859375, 214.32319335937498, 707.0890625, 812.0660970052082]]"
case0061_002.png,0.0,0.0,0.0,"[[471.04, 184.32, 583.68, 327.68]]","[[384.8533203125, 44.98773193359375, 797.0474609375, 814.0970418294271]]"
case0070_001.png,N/A,N/A,N/A,[],"[[421.09013671875, 590.4255859375, 577.7429361979166, 720.6335856119792]]"
case0070_002.png,0.0,0.0,0.0,"[[512.0, 501.76, 624.64, 716.8]]","[[468.8767903645833, 612.2666666666667, 560.26025390625, 671.5647989908854]]"
case0070_003.png,N/A,N/A,N/A,[],"[[450.1333333333333, 580.2666666666667, 539.7333333333333, 644.2666666666667]]"
case0070_004.png,N/A,N/A,N/A,[],"[[441.59999999999997, 610.1333333333333, 537.5999999999999, 823.4666666666667]]"
case0070_005.png,N/A,N/A,N/A,[],"[[433.92213541666666, 671.0591796875, 531.2, 822.6218424479166]]"
case0070_006.png,N/A,N/A,N/A,[],"[[456.08961588541666, 706.1333333333333, 504.5120157877604, 811.4111979166667]]"
case0070_007.png,N/A,N/A,N/A,[],"[[456.5333333333333, 622.9333333333333, 524.8, 806.4]]"
case0070_008.png,N/A,N/A,N/A,[],"[[586.21015625, 582.3360026041667, 693.4400227864583, 700.6037353515625]]"
case0070_009.png,N/A,N/A,N/A,[],"[[549.2053385416666, 586.6154947916666, 602.7434733072917, 661.3845621744791]]"
case0070_010.png,N/A,N/A,N/A,[],"[[576.0, 601.6, 631.4666666666667, 708.2666666666667]]"
case0070_011.png,N/A,N/A,N/A,[],"[[550.81171875, 525.6341471354167, 672.8767822265625, 691.7077473958334]]"
case0080_001.png,N/A,N/A,N/A,[],"[[332.8, 409.6, 435.20000000000005, 539.7333333333333], [573.8666666666667, 413.8666666666667, 678.4, 550.4]]"
