img_path,output
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0005_001.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0005_002.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0005_003.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0012_001.png,"['[0.47, 0.26, 0.81, 0.59]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0012_002.png,"['[0.38, 0.26, 0.71, 0.54]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0012_003.png,"['[0.47, 0.32, 0.68, 0.51]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0012_004.png,"['[0.51, 0.34, 0.69, 0.72]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0012_005.png,"['[0.43, 0.26, 0.71, 0.58]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0012_006.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0018_001.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0018_002.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0018_003.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0034_001.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0034_002.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0034_003.png,"['[0.45, 0.61, 0.73, 0.82]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0034_004.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0034_005.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0043_001.png,"['[0.52, 0.31, 0.67, 0.49]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0043_002.png,"['[0.26, 0.38, 0.41, 0.5]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0043_003.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0043_004.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0043_005.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0054_001.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0061_001.png,"['[0.47, 0.32, 0.61, 0.5]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0061_002.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_001.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_002.png,"['[0.48, 0.59, 0.61, 0.72]']"
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_003.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_004.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_005.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_006.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_007.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_008.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_009.png,['[]']
/root/autodl-tmp/VLM_Seminar25_Dataset/nova_brain/images/case0070_010.png,['[]']
